family,state,measurement,expected_px,observed_px,delta_px,status,formula,artifact_csv
static and focused launcher surfaces,advanced-geometry,routine to advanced panel gap,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/advanced-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section content left padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section content right padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section parameter row gap,8.00,8.00,0.00,zero-delta,PARAMETER_ROW_GAP,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,all-settings-geometry,section help column alignment,0.00,0.00,0.00,zero-delta,dependent and independent help rails match,/private/tmp/astra-gui-final-margin-pass-v3/all-settings-geometry.csv
static and focused launcher surfaces,channel-panel-geometry,channel title left inset,15.00,15.00,0.00,zero-delta,CHANNEL_PANEL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/channel-panel-geometry.csv
static and focused launcher surfaces,channel-panel-geometry,channel title top inset,15.00,15.00,0.00,zero-delta,CHANNEL_PANEL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/channel-panel-geometry.csv
static and focused launcher surfaces,channel-panel-geometry,channel panel child vertical gap,8.00,8.00,0.00,zero-delta,CHANNEL_PANEL_GAP,/private/tmp/astra-gui-final-margin-pass-v3/channel-panel-geometry.csv
static and focused launcher surfaces,closed-combo-geometry,closed combo left cell inset,11.00,11.00,0.00,zero-delta,ControlGeometry.COMBO_CELL_HORIZONTAL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/closed-combo-geometry.csv
static and focused launcher surfaces,combo-popup-geometry,combo popup list left to row,2.00,2.00,0.00,zero-delta,SURFACE_BORDER_WIDTH * 2,/private/tmp/astra-gui-final-margin-pass-v3/combo-popup-geometry.csv
static and focused launcher surfaces,combo-popup-geometry,combo popup row text inset,10.00,10.00,0.00,zero-delta,ControlGeometry.COMBO_CELL_HORIZONTAL_INSET,/private/tmp/astra-gui-final-margin-pass-v3/combo-popup-geometry.csv
static and focused launcher surfaces,combo-popup-geometry,combo popup row gap,0.00,0.00,0.00,zero-delta,combo popup rows are contiguous,/private/tmp/astra-gui-final-margin-pass-v3/combo-popup-geometry.csv
static and focused launcher surfaces,custom-controls-geometry,section content left padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/custom-controls-geometry.csv
static and focused launcher surfaces,custom-controls-geometry,section content right padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/custom-controls-geometry.csv
static and focused launcher surfaces,custom-controls-geometry,section parameter row gap,8.00,8.00,0.00,zero-delta,PARAMETER_ROW_GAP,/private/tmp/astra-gui-final-margin-pass-v3/custom-controls-geometry.csv
static and focused launcher surfaces,dashboard-geometry-overlay,left outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,input pane to output pane,16.00,16.00,0.00,zero-delta,OUTER_MARGIN - SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,scrollbar gutter width,24.00,24.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,visible bar width,8.00,8.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH / 3,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,input content to visible bar,24.00,24.00,0.00,zero-delta,INPUT_CONTENT_TO_BAR_GAP + SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,visible bar to output pane,24.00,24.00,0.00,zero-delta,SCROLLBAR_SIDE_PADDING + INTER_PANE_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,right outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,input pane bottom to output pane bottom,0.00,0.00,0.00,zero-delta,input/output panes share workspace bottom,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,header to input pane,24.00,24.00,0.00,zero-delta,workspace top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,output pane to run button,24.00,24.00,0.00,zero-delta,main action bar top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,run button to bottom,24.00,24.00,0.00,zero-delta,main action bar bottom OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,run button to right edge,24.00,24.00,0.00,zero-delta,main action bar right OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,channel panel to settings panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,settings panel to advanced panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard grid left frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard grid right frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard card column gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard card row gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,dashboard-geometry-overlay,dashboard card left internal padding,13.00,13.00,0.00,zero-delta,DASHBOARD_CARD_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/dashboard-geometry-overlay.csv
static and focused launcher surfaces,header-action-rail-geometry,header tab left inset,0.00,0.00,0.00,zero-delta,tab shares action rail left edge,/private/tmp/astra-gui-final-margin-pass-v3/header-action-rail-geometry.csv
static and focused launcher surfaces,header-action-rail-geometry,header tab top join,0.00,0.00,0.00,zero-delta,tab joins action rail top edge,/private/tmp/astra-gui-final-margin-pass-v3/header-action-rail-geometry.csv
static and focused launcher surfaces,header-action-rail-geometry,header menu button gap,7.00,7.00,0.00,zero-delta,HeaderGeometry.ACTION_CLUSTER_GAP,/private/tmp/astra-gui-final-margin-pass-v3/header-action-rail-geometry.csv
static and focused launcher surfaces,header-action-rail-geometry,header button left content inset,12.00,12.00,0.00,zero-delta,HeaderGeometry.MENU_EDGE_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/header-action-rail-geometry.csv
static and focused launcher surfaces,help-dialog-geometry-overlay,help summary to next section title,12.00,12.00,0.00,zero-delta,HELP_DIALOG_SECTION_GAP,/private/tmp/astra-gui-final-margin-pass-v3/help-dialog-geometry-overlay.csv
static and focused launcher surfaces,help-dialog-geometry-overlay,help section title to body,12.00,12.00,0.00,zero-delta,HELP_DIALOG_SECTION_GAP,/private/tmp/astra-gui-final-margin-pass-v3/help-dialog-geometry-overlay.csv
static and focused launcher surfaces,help-dialog-geometry-overlay,help details accent width,4.00,4.00,0.00,zero-delta,HELP_DETAIL_ACCENT_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/help-dialog-geometry-overlay.csv
static and focused launcher surfaces,help-dialog-geometry-overlay,help details cards right inset,10.00,10.00,0.00,zero-delta,HELP_DIALOG_INSET - (SURFACE_BORDER_WIDTH * 2),/private/tmp/astra-gui-final-margin-pass-v3/help-dialog-geometry-overlay.csv
static and focused launcher surfaces,help-dialog-geometry-overlay,help detail card vertical gap,8.00,8.00,0.00,zero-delta,HELP_DETAIL_CARD_GAP,/private/tmp/astra-gui-final-margin-pass-v3/help-dialog-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,left outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,input pane to output pane,16.00,16.00,0.00,zero-delta,OUTER_MARGIN - SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,scrollbar gutter width,24.00,24.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,visible bar width,8.00,8.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH / 3,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,input content to visible bar,24.00,24.00,0.00,zero-delta,INPUT_CONTENT_TO_BAR_GAP + SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,visible bar to output pane,24.00,24.00,0.00,zero-delta,SCROLLBAR_SIDE_PADDING + INTER_PANE_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,right outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,input pane bottom to output pane bottom,0.00,0.00,0.00,zero-delta,input/output panes share workspace bottom,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,header to input pane,24.00,24.00,0.00,zero-delta,workspace top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,output pane to run button,24.00,24.00,0.00,zero-delta,main action bar top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,run button to bottom,24.00,24.00,0.00,zero-delta,main action bar bottom OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,run button to right edge,24.00,24.00,0.00,zero-delta,main action bar right OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,channel panel to settings panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,settings panel to advanced panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,focused panel left inset,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,focused panel right inset,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,focused header to parameter grid,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,parameter grid left padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,editor to parameter grid right,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,parameter row to row gap,8.00,8.00,0.00,zero-delta,PARAMETER_ROW_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dependent panel outer left margin,19.00,19.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH + DEPENDENT_PANEL_OUTER_LEFT_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dependent panel fills grid right edge,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dependent rows container left border inset,1.00,1.00,0.00,zero-delta,SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dependent rows container right inset,13.00,13.00,0.00,zero-delta,DEPENDENT_PANEL_RIGHT_PADDING + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dependent title text inset,39.00,39.00,0.00,zero-delta,DEPENDENT_TITLE_TEXT_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dependent title to reason gap,4.00,4.00,0.00,zero-delta,INTRA_PANEL_TIGHT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dependent reason to row grid gap,4.00,4.00,0.00,zero-delta,INTRA_PANEL_TIGHT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dashboard grid left frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dashboard grid right frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dashboard card column gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dashboard card row gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,images-scope-geometry-overlay,dashboard card left internal padding,13.00,13.00,0.00,zero-delta,DASHBOARD_CARD_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/images-scope-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,left outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,input pane to output pane,16.00,16.00,0.00,zero-delta,OUTER_MARGIN - SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,scrollbar gutter width,24.00,24.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,visible bar width,8.00,8.00,0.00,zero-delta,SCROLLBAR_GUTTER_WIDTH / 3,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,input content to visible bar,24.00,24.00,0.00,zero-delta,INPUT_CONTENT_TO_BAR_GAP + SCROLLBAR_SIDE_PADDING,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,visible bar to output pane,24.00,24.00,0.00,zero-delta,SCROLLBAR_SIDE_PADDING + INTER_PANE_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,right outer margin,24.00,24.00,0.00,zero-delta,OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,input pane bottom to output pane bottom,0.00,0.00,0.00,zero-delta,input/output panes share workspace bottom,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,header to input pane,24.00,24.00,0.00,zero-delta,workspace top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,output pane to run button,24.00,24.00,0.00,zero-delta,main action bar top OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,run button to bottom,24.00,24.00,0.00,zero-delta,main action bar bottom OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,run button to right edge,24.00,24.00,0.00,zero-delta,main action bar right OUTER_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,channel panel to settings panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,settings panel to advanced panel,24.00,24.00,0.00,zero-delta,INPUT_STACK_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,focused panel left inset,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,focused panel right inset,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,focused header to parameter grid,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,parameter grid left padding,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,editor to parameter grid right,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,parameter row to row gap,8.00,8.00,0.00,zero-delta,PARAMETER_ROW_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,independent box edge to bar,19.00,19.00,0.00,zero-delta,ACCENT_INDENT,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent panel edge to bar,19.00,19.00,0.00,zero-delta,ACCENT_INDENT,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,independent edge to bar,6.00,6.00,0.00,zero-delta,PARAMETER_ROW_EDGE_TO_BAR_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,independent bar to text,16.00,16.00,0.00,zero-delta,PARAMETER_BAR_TO_TEXT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent bar to text,16.00,16.00,0.00,zero-delta,PARAMETER_BAR_TO_TEXT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent title to dependent row label,0.00,0.00,0.00,zero-delta,dependent title uses dependent text rail,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,independent help to dependent help,0.00,0.00,0.00,zero-delta,same help column rail,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,independent editor to dependent editor,0.00,0.00,0.00,zero-delta,same editor rail,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,independent help to editor,22.00,22.00,0.00,zero-delta,EDITOR_RAIL - HELP_RAIL - PARAMETER_HELP_BUTTON_SIZE,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent help to editor,22.00,22.00,0.00,zero-delta,EDITOR_RAIL - HELP_RAIL - PARAMETER_HELP_BUTTON_SIZE,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent panel outer left margin,19.00,19.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH + DEPENDENT_PANEL_OUTER_LEFT_MARGIN,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent panel fills grid right edge,13.00,13.00,0.00,zero-delta,INTRA_PANEL_MARGIN + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent rows container left border inset,1.00,1.00,0.00,zero-delta,SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent rows container right inset,13.00,13.00,0.00,zero-delta,DEPENDENT_PANEL_RIGHT_PADDING + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent title text inset,39.00,39.00,0.00,zero-delta,DEPENDENT_TITLE_TEXT_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent title to reason gap,4.00,4.00,0.00,zero-delta,INTRA_PANEL_TIGHT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dependent reason to row grid gap,4.00,4.00,0.00,zero-delta,INTRA_PANEL_TIGHT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dashboard grid left frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dashboard grid right frame inset,0.00,0.00,0.00,zero-delta,dashboard frame has FLUSH padding,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dashboard card column gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dashboard card row gap,12.00,12.00,0.00,zero-delta,SECTION_CONTENT_GAP,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,models-geometry-overlay,dashboard card left internal padding,13.00,13.00,0.00,zero-delta,DASHBOARD_CARD_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/models-geometry-overlay.csv
static and focused launcher surfaces,output-pane-geometry,output pane left inset to status card,24.00,24.00,0.00,zero-delta,OUTPUT_PANE_INSET + StyledLogView.LOG_ROW_GAP + (SURFACE_BORDER_WIDTH * 2),/private/tmp/astra-gui-final-margin-pass-v3/output-pane-geometry.csv
static and focused launcher surfaces,output-pane-geometry,output pane right inset to status card,24.00,24.00,0.00,zero-delta,OUTPUT_PANE_INSET + StyledLogView.LOG_ROW_GAP + (SURFACE_BORDER_WIDTH * 2),/private/tmp/astra-gui-final-margin-pass-v3/output-pane-geometry.csv
static and focused launcher surfaces,output-pane-geometry,copy button right rail,24.00,24.00,0.00,zero-delta,OUTPUT_PANE_INSET + StyledLogView.LOG_ROW_GAP + (SURFACE_BORDER_WIDTH * 2),/private/tmp/astra-gui-final-margin-pass-v3/output-pane-geometry.csv
static and focused launcher surfaces,output-pane-geometry,log status card title left inset,11.00,11.00,0.00,zero-delta,StyledLogView.LOG_CARD_HORIZONTAL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/output-pane-geometry.csv
static and focused launcher surfaces,output-pane-geometry,log status card title top inset,10.00,10.00,0.00,zero-delta,StyledLogView.LOG_CARD_VERTICAL_INSET + SURFACE_BORDER_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/output-pane-geometry.csv
static and focused launcher surfaces,project-menu-geometry,header context menu width,390.00,390.00,0.00,zero-delta,HeaderGeometry.MENU_POPUP_WIDTH,/private/tmp/astra-gui-final-margin-pass-v3/project-menu-geometry.csv
static and focused launcher surfaces,project-menu-geometry,header simple menu item left inset,6.00,6.00,0.00,zero-delta,HeaderGeometry.SIMPLE_MENU_ITEM_SHELL_INSET,/private/tmp/astra-gui-final-margin-pass-v3/project-menu-geometry.csv
